Tail_number,Summary,Owner,Airworthiness_Class,Serial_Number,Engine,Weight,Speed,Mode_S_Code,Status,Certificate_Issue_Date,Airworthiness_Date,Last_Action_Date,Expiration,Registry_Source
N101VU,2003 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Transport,9039,TURBOMECAARRIELSERIES(Turbo-shaft)Horsepower:985,"Less than 12,500lbs",Not defined,050005131 / A00A59,Assigned,2015-04-16,2004-05-26,2020-11-18,2024-04-30,FAA
N102HN,2000 EUROCOPTER DEUTSCHLAND GMBH EC135P1Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0159,P&WCANADAPW206BSERIES(Turbo-shaft)Horsepower:431,"Less than 12,500lbs",Not defined,050006336 / A00CDE,Assigned,2018-11-26,2001-01-12,2018-11-26,2021-11-30,FAA
N102VU,2004 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Transport,9044,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050007020 / A00E10,Assigned,2015-04-16,2004-12-10,2017-12-26,2021-04-30,FAA
N103AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45597,ALLISON250SER250HP(Turbo-shaft)Horsepower:250,"Less than 12,500lbs",Not defined,050007736 / A00FDE,Assigned,2005-10-26,1981-01-29,2018-04-13,2021-09-30,FAA
N103VU, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Unknown/Unknown,9054,(Turbo-shaft),"Less than 12,500lbs",Not defined,050010707 / A011C7,Unknown,2015-04-16,,2017-12-20,2021-04-30,FAA
N104VU,2008 EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+Rotorcraft(12 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0704,TURBOMECAARRIUS2B2(Turbo-shaft)Horsepower:642,"12,500-19,999lbs",Not defined,050012576 / A0157E,Assigned,2016-01-20,2008-09-12,2018-08-13,2022-01-31,FAA
N105AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"TEXTRON FINANCIAL CORPWICHITA, KS, US(Corporation)",Standard/Normal,54024,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050013523 / A01753,Assigned,2017-09-27,2010-12-14,2020-04-16,2023-09-30,FAA
N105VU,2008 EUROCOPTER DEUTSCHLAND GMBH EC 135 T2+Rotorcraft(12 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0724,TURBOMECAARRIUS2B2(Turbo-shaft)Horsepower:642,"12,500-19,999lbs",Not defined,050014465 / A01935,Assigned,2014-07-16,2008-11-19,2020-02-14,2023-07-31,FAA
N106AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45566,ALLISON250-C28SER(Turbo-shaft)Horsepower:500,"Less than 12,500lbs",Not defined,050015403 / A01B03,Unknown,2005-10-26,2002-04-11,2018-03-16,2021-07-31,FAA
N106VU,2014 AIRBUS HELICOPTERS EC 130 T2Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,7996,TURBOMECAARRIEL2D(Turbo-shaft)Horsepower:802,"12,500-19,999lbs",Not defined,050016354 / A01CEC,Assigned,2015-09-01,2015-02-06,2017-12-18,2018-09-30,FAA
N107VU,2015 AIRBUS HELICOPTERS EC 130 T2Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,8109,TURBOMECAARRIEL2D(Turbo-shaft)Horsepower:802,"12,500-19,999lbs",Not defined,050020243 / A020A3,Assigned,2016-02-04,2015-08-12,2018-09-18,2022-02-28,FAA
N108AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCOFALLON, MO, US(Corporation)",Standard/Normal,45730,ALLISON250SER250HP(Turbo-shaft)Horsepower:250,"Less than 12,500lbs",Not defined,050021161 / A02271,Unknown,2005-10-26,1981-09-18,2018-03-16,2021-08-31,FAA
N108HP,2002 EUROCOPTER AS 350 B3Rotorcraft(6 seats / 1 engine),"CALIFORNIA HIGHWAY PATROLSACRAMENTO, CA, US(Government)",Standard/Normal,3635,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"Less than 12,500lbs",Not defined,050021451 / A02329,Assigned,2003-07-22,2003-05-21,2020-05-12,2023-10-31,FAA
N108LN, EUROCOPTER AS 350 B3Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Unknown/Unknown,3959,(Turbo-shaft),"Less than 12,500lbs",Not defined,050021563 / A02373,Assigned,2013-01-11,,2018-08-13,2022-01-31,FAA
N108MT,2012 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"WILMINGTON TRUST CO TRUSTEEWILMINGTON, DE, US(Corporation)",Standard/Normal,54108,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050021621 / A02391,Assigned,2013-05-07,2012-06-08,2018-12-26,2022-05-31,FAA
N108SC, BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"COUNTY OF SONOMASANTA ROSA, CA, US(Government)",Unknown/Unknown,54728,(Turbo-shaft),"Less than 12,500lbs",Not defined,050021777 / A023FF,Assigned,2018-02-28,,2020-10-12,2024-02-29,FAA
N108VU,2006 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0509,P&WCANADAPW206B(Turbo-shaft)Horsepower:431,"Less than 12,500lbs",Not defined,050022132 / A0245A,Assigned,2012-07-18,2007-02-07,2021-02-22,2024-07-31,FAA
N109BC,1999 EUROCOPTER DEUTSCHLAND GMBH EC135T1Rotorcraft(12 seats / 2 engines),"BROWARD COUNTY SHERIFFS OFFICEFORT LAUDERDALE, FL, US(Government)",Standard/Normal,0139,TURBOMECAARRIUS2B1(Turbo-shaft)Horsepower:577,"12,500-19,999lbs",Not defined,050023077 / A0263F,Assigned,2010-04-08,2000-03-14,2020-01-21,2023-06-30,FAA
N10NM, AGUSTA SPA A109ERotorcraft(8 seats / 2 engines),"NORTH MEMORIAL HEALTH CAREBROOKLYN CENTER, MN, US(Corporation)",Unknown/Unknown,11054,(Turbo-shaft),"Less than 12,500lbs",Not defined,050001623 / A00393,Assigned,2005-05-02,,2019-11-25,2023-04-30,FAA
N110LA,2005 BELL 412EPRotorcraft(15 seats / 2 engines),"CONSOLIDATED FIRE PROTECTIONPACOIMA, CA, US(Government)",Standard/Transport,36392,P&WPT6T-3D(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050026456 / A02D2E,Assigned,2006-05-09,2006-03-17,2020-05-01,2023-05-31,FAA
N111HN,2004 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,0339,P&WCANADAPW206BSERIES(Turbo-shaft)Horsepower:431,"Less than 12,500lbs",Not defined,050030246 / A030A6,Assigned,2014-01-10,2016-01-08,2019-08-13,2023-01-31,FAA
N112MT,2013 EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+Rotorcraft(7 seats / 2 engines),"REGIONS EQUIPMENT FINANCE CORPBIRMINGHAM, AL, US(Corporation)",Standard/Normal,1129,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050032306 / A034C6,Unknown,2015-07-08,2015-01-20,2018-06-22,2021-07-31,FAA
N113AE, BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Unknown/Unknown,45371,(Turbo-shaft),"Less than 12,500lbs",Not defined,050033535 / A0375D,Unknown,2005-10-26,,2018-03-16,2021-07-31,FAA
N113AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"TEXTRON FINANCIAL CORPWICHITA, KS, US(Corporation)",Standard/Normal,54027,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050033544 / A03764,Assigned,2017-10-05,2010-12-14,2020-05-20,2023-10-31,FAA
N114SF,1995 BELL 206-L4Rotorcraft(7 seats / 1 engine),"N114SF LLCMESA, AZ, US",Standard/Normal,52154,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050036245 / A03CA5,Assigned,2014-11-05,2004-08-11,2020-06-11,2023-11-30,FAA
N115GH,2001 AGUSTA SPA A109ERotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,11115,P&WCANADAPW206C(Turbo-shaft)Horsepower:561,"Less than 12,500lbs",Not defined,050037544 / A03F64,Assigned,2013-12-03,2013-10-18,2019-07-19,2022-12-31,FAA
N1174U,1988 MESSERSCHMITT-BOLKOW-BLOHM BK 117 B-2Rotorcraft(7 seats / 2 engines),"MILWAUKEE REGIONAL MEDICAL CENTER INCWAUKESHA, WI, US(Corporation)",Standard/Transport,7146,LYCOMINGLTS-750-B-1(Turbo-shaft)Horsepower:461,"Less than 12,500lbs",Not defined,050044453 / A0492B,Assigned,2000-02-22,1998-12-19,2019-03-22,2022-08-31,FAA
N117CH,1987 MESSERSCHMITT BK 117 B-1Rotorcraft(11 seats / 2 engines),"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)",Standard/Transport,7123,LYCOMINGLTS-101SER(Turbo-shaft)Horsepower:317,"Less than 12,500lbs",Not defined,050043156 / A0466E,Assigned,1988-02-02,2000-11-22,2019-07-10,2022-12-31,FAA
N117J,1990 MESSERSCHMITT BOLKOW BLOHM BK117 B-1Rotorcraft(11 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Transport,7227,HONEYWELLLTS101-750B-1(Turbo-shaft)Horsepower:550,"Less than 12,500lbs",Not defined,050043374 / A046FC,Assigned,2013-02-12,2007-03-01,2018-09-18,2022-02-28,FAA
N117NC,1997 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-1Rotorcraft(4 seats / 1 engine),"TRIPLE M LEASING LLCSHREVEPORT, LA, US",Standard/Transport,7517,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050043543 / A04763,Assigned,2013-06-12,2001-06-06,2019-01-14,2022-06-30,FAA
N117UP,1994 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-1Rotorcraft(4 seats / 1 engine),"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)",Standard/Transport,7508,TURBOMECAARRIEL1SER(Turbo-shaft)Horsepower:681,"Less than 12,500lbs",Not defined,050044004 / A04804,Assigned,2013-11-13,1994-07-19,2019-06-18,2022-11-30,FAA
N118AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45724,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050044760 / A049F0,Assigned,2005-10-26,2003-03-24,2018-04-13,2021-09-30,FAA
N119AE,1981 BELL 206L-3Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,51201,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"12,500-19,999lbs",Not defined,050046647 / A04DA7,Assigned,2005-10-26,2002-12-09,2018-04-13,2021-09-30,FAA
N119MF,2014 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"MERCY FLIGHTS INCMEDFORD, OR, US(Corporation)",Standard/Normal,54550,ALLISON250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050047273 / A04EBB,Unknown,2015-08-04,2014-12-23,2018-03-16,2021-08-31,FAA
N11PP,2003 BELL 412EPRotorcraft(15 seats / 2 engines),"US DEPT OF THE INTERIORBOISE, ID, US(Government)",Standard/Transport,36316,P&WCANADAPT6T-3D(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050025455 / A02B2D,Assigned,2016-08-04,2004-12-20,2019-03-26,2022-08-31,FAA
N120LA,2007 BELL HELICOPTER TEXTRON CANADA 412EPRotorcraft(15 seats / 2 engines),"COUNTY OF LOS ANGELES FIRE DEPTPACOIMA, CA, US(Government)",Standard/Transport,36455,P&WCANADAPT6T-3D(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,050052255 / A054AD,Assigned,2008-02-12,2007-12-13,2019-03-18,2022-08-31,FAA
N124AE,1992 BELL 206L-3Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,51591,ALLISON250-C30SER(Turbo-shaft)Horsepower:650,"12,500-19,999lbs",Not defined,050061223 / A06293,Assigned,2005-10-26,2003-02-05,2018-04-13,2021-09-30,FAA
N124AM,2010 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"TVPX AIRCRAFT SOLUTIONS INC TRUSTEENORTH SALT LAKE, UT, US(Corporation)",Standard/Normal,54045,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050061232 / A0629A,Assigned,2017-09-15,2010-12-13,2017-09-15,2020-09-30,FAA
N124UW,2016 AIRBUS HELICOPTERS DEUTSCHLAND EC135 P2+Rotorcraft(7 seats / 2 engines),"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)",Standard/Normal,1245,P&WCANADAPW206B2(Turbo-shaft)Horsepower:447,"Less than 12,500lbs",Not defined,050062145 / A06465,Assigned,2019-02-02,2017-12-29,2019-06-24,2022-02-28,FAA
N125LN, EUROCOPTER AS 350 B2Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Unknown/Unknown,4145,(Turbo-shaft),"Less than 12,500lbs",Not defined,050063514 / A0674C,Assigned,2012-04-20,,2020-11-18,2024-04-30,FAA
N126LN,2006 EUROCOPTER AS 350 B2Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,4147,TURBOMECAARRIEL1D1(Turbo-shaft)Horsepower:712,"Less than 12,500lbs",Not defined,050065403 / A06B03,Assigned,2016-06-15,2006-11-24,2019-01-14,2022-06-30,FAA
N127AM, AGUSTA SPA A109ERotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,11641,P&WCANADAPW206C(Turbo-shaft)Horsepower:561,"Less than 12,500lbs",Not defined,050066677 / A06DBF,Assigned,2014-04-23,2005-07-04,2019-11-18,2023-04-30,FAA
N129AR,2001 AGUSTA SPA A109ERotorcraft(8 seats / 2 engines),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,11125,P&WCANADAPW206C(Turbo-shaft)Horsepower:561,"Less than 12,500lbs",Not defined,050072461 / A07531,Assigned,2014-02-13,2014-02-15,2019-09-17,2023-02-28,FAA
N129LN,2005 EUROCOPTER AS 350 B2Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,4011,TURBOMECAARRIEL1D1(Turbo-shaft)Horsepower:712,"Less than 12,500lbs",Not defined,050073050 / A07628,Assigned,2011-08-24,2005-12-30,2020-03-18,2023-08-31,FAA
N12AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Multiple/Normal,45649,ALLISON250-C28SER(Turbo-shaft)Horsepower:500,"Less than 12,500lbs",Not defined,050050536 / A0515E,Unknown,2005-10-26,1992-02-25,2018-03-16,2021-08-31,FAA
N12SP,2000 BELL 430Rotorcraft(10 seats / 2 engines),"NEW YORK STATE POLICEALBANY, NY, US(Government)",Experimental/Normal,49069,ALLISON250SERIES(Turbo-shaft)Horsepower:300,"Less than 12,500lbs",Not defined,050051367 / A052F7,Assigned,2001-01-25,2000-09-05,2019-06-17,2022-07-31,FAA
N130AE,1980 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45467,ALLISON250SER250HP(Turbo-shaft)Horsepower:250,"Less than 12,500lbs",Not defined,050075466 / A07B36,Unknown,2005-10-26,1980-07-17,2018-03-16,2021-08-31,FAA
N130BU,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Standard/Normal,7132,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050075535 / A07B5D,Assigned,2018-09-24,2011-06-29,2018-09-24,2021-09-30,FAA
N130CL,2012 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"WELLS FARGO TRUST CO NA TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,7499,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050075556 / A07B6E,Assigned,2013-01-09,2013-04-18,2018-09-12,2022-01-31,FAA
N130EE,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"BUCKEYE LEASING LLCSHREVEPORT, LA, US",Standard/Normal,7190,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050075632 / A07B9A,Assigned,2012-06-18,2011-11-21,2021-01-13,2024-06-30,FAA
N130HB,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Standard/Normal,7167,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050075742 / A07BE2,Assigned,2018-09-24,2011-05-16,2018-09-24,2021-09-30,FAA
N130HN,2012 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"TVPX AIRCRAFT SOLUTIONS INC TRUSTEENORTH SALT LAKE, UT, US(Corporation)",Standard/Normal,7366,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050075755 / A07BED,Assigned,2017-09-15,2012-09-14,2020-04-20,2023-09-30,FAA
N130JV,2012 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"WELLS FARGO TRUST CO NA TRUSTEESALT LAKE CITY, UT, US(Corporation)",Standard/Normal,7490,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076015 / A07C0D,Assigned,2013-01-08,2012-12-11,2018-09-12,2022-01-31,FAA
N130KH,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Standard/Normal,7142,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076032 / A07C1A,Assigned,2018-09-24,2011-08-28,2018-09-24,2021-09-30,FAA
N130MU,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Standard/Normal,7103,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076127 / A07C57,Assigned,2018-09-24,2011-06-03,2018-09-24,2021-09-30,FAA
N130NB,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"BUCKEYE LEASING LLCSHREVEPORT, LA, US",Standard/Normal,7221,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076137 / A07C5F,Assigned,2012-06-18,2012-01-30,2021-01-13,2024-06-30,FAA
N130NE,2010 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Experimental,7017,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076142 / A07C62,Assigned,2018-09-24,2011-06-03,2018-09-24,2021-09-30,FAA
N130NW,2011 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"OHIO MEDICAL TRANSPORTATION INCCOLUMBUS, OH, US(Corporation)",Standard/Normal,7182,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050076162 / A07C72,Assigned,2018-09-24,2011-09-28,2018-09-24,2021-09-30,FAA
N130TJ,,,,,,,,,,,,,,
N131LF,2006 EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2Rotorcraft(8 seats / 2 engines),"WEST PENN ALLEGHENY FOUNDATION LLCPITTSBURGH, PA, US",Standard/Transport,9096,TURBOMECAARRIEL1E2(Turbo-shaft)Horsepower:708,"Less than 12,500lbs",Not defined,050077750 / A07FE8,Assigned,2007-02-16,2006-12-18,2019-03-04,2022-07-31,FAA
N131LN, EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Unknown/Unknown,4090,(Turbo-shaft),"12,500-19,999lbs",Not defined,050077757 / A07FEF,Assigned,2011-12-30,,2020-07-20,2023-12-31,FAA
N132AE,1980 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45491,ROLLS-ROYC250-C30P(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050101244 / A082A4,Unknown,2005-10-26,2009-12-02,2018-03-16,2021-07-31,FAA
N132HN,2012 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"HEALTHNET AEROMEDICAL SERVICES INCCHARLESTON, WV, US(Corporation)",Standard/Normal,7481,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050101533 / A0835B,Assigned,2013-12-03,2012-11-20,2019-07-18,2022-12-31,FAA
N132LN,2005 EUROCOPTER EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,3970,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050101646 / A083A6,Assigned,2011-05-03,2006-04-03,2019-12-18,2023-05-31,FAA
N133AE,1979 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45280,ALLISON250SER400HP(Turbo-shaft)Horsepower:400,"Less than 12,500lbs",Not defined,050103133 / A0865B,Unknown,2005-10-26,1979-08-06,2018-03-16,2021-08-31,FAA
N133HN,2011 EUROCOPTER FRANCE EC 130 B4Rotorcraft(6 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,7293,TURBOMECAARRIEL2B1(Turbo-shaft)Horsepower:747,"12,500-19,999lbs",Not defined,050103422 / A08712,Assigned,2021-01-21,2013-01-02,2021-01-21,2024-01-31,FAA
N134AE,1981 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45593,ALLISON250-C28SER(Turbo-shaft)Horsepower:500,"Less than 12,500lbs",Not defined,050105022 / A08A12,Unknown,2005-10-26,2004-06-09,2018-03-16,2021-08-31,FAA
N134MH,2013 MAULE M-7-260CFixed wing single engine(5 seats / 1 engine),"SWAG AVIATION LLCABBEVILLE, LA, US",Standard/Normal,30055C,LYCOMINGIO-540-V4A5D(Reciprocating)Horsepower:260,"Less than 12,500lbs",Not defined,050105450 / A08B28,Assigned,2014-10-29,2013-08-30,2020-05-16,2023-10-31,FAA
N135AM,2013 BELL HELICOPTER TEXTRON CANADA 407Rotorcraft(8 seats / 1 engine),"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)",Standard/Normal,54385,ROLLS-ROYC250-C47B(Turbo-shaft)Horsepower:650,"Less than 12,500lbs",Not defined,050106720 / A08DD0,Assigned,2013-06-04,2013-10-04,2019-01-11,2022-06-30,FAA
